,collegeName,country,dateOfBirthUTC,draft_pickNum,draft_roundNum,draft_seasonYear,draft_teamId,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,weightKilograms,weightPounds,yearsPro
415,Alabama,USA,1999-01-04,8,1,2018,1610612739,Collin,6,2,1.88,True,2,University of Alabama/USA,Sexton,2018,1629012,G,1610612739,86.2,190,0
416,Wichita State,USA,1997-03-13,26,1,2018,1610612755,Landry,6,5,1.96,True,1,Wichita State University/USA,Shamet,2018,1629013,G,1610612755,85.3,188,0
417,Georgia Tech,USA,1990-06-26,17,1,2011,1610612752,Iman,6,5,1.96,True,9,Georgia Tech/USA,Shumpert,2011,202697,G,1610612758,97.5,215,7
418,New Mexico State,Cameroon,1994-04-02,27,1,2016,1610612761,Pascal,6,9,2.06,True,43,New Mexico State/Cameroon,Siakam,2016,1627783,F,1610612761,104.3,230,2
419,Louisiana State,Australia,1996-07-20,1,1,2016,1610612755,Ben,6,10,2.08,True,25,Louisiana State/Australia,Simmons,2017,1627732,G-F,1610612755,104.3,230,1
420,Houston,USA,1989-09-14,,,,,Jonathon,6,6,1.98,True,17, USA/USA,Simmons,2015,203613,F,1610612753,88.5,195,3
421,IMG Academy,USA,1999-06-08,24,1,2018,1610612757,Anfernee,6,4,1.93,True,24,USA/USA,Simons,2018,1629014,G,1610612757,83.9,185,0
422,Oklahoma State,USA,1994-03-06,6,1,2014,1610612738,Marcus,6,4,1.93,True,36,Oklahoma State/USA,Smart,2014,203935,G,1610612738,99.8,220,4
423,Wake Forest,USA,1988-07-05,,,,,Ish,6,0,1.83,True,14,Wake Forest/USA,Smith,2010,202397,G,1610612765,79.4,175,8
424,Colorado State,USA,1986-03-02,20,1,2007,1610612748,Jason,7,0,2.13,True,20,Colorado State/USA,Smith,2007,201160,F-C,1610612749,108.9,240,10
425,St. Benedict's Prep (NJ),USA,1985-09-09,18,1,2004,1610612740,JR,6,6,1.98,True,5,"St. Benedict's Prep (Newark, NJ)/USA",Smith,2004,2747,G-F,1610612739,102.1,225,14
426,Texas Tech,USA,1999-06-04,16,1,2018,1610612756,Zhaire,6,4,1.93,True,8,Texas Tech University/USA,Smith,,1629015,G,1610612755,90.3,199,0
427,North Carolina State,USA,1997-11-25,9,1,2017,1610612742,Dennis,6,3,1.9,True,1,North Carolina State/USA,Smith Jr.,2017,1628372,G,1610612742,88.5,195,1
428,New Mexico,USA,1991-11-10,20,1,2013,1610612741,Tony,6,7,2.01,True,21,New Mexico/USA,Snell,2013,203503,G,1610612749,96.6,213,5
429,Louisville,USA,1997-03-11,56,2,2018,1610612755,Ray,6,10,2.08,True,26,Louisville/USA,Spalding,2018,1629034,F,1610612742,97.5,215,0
430,Villanova,USA,1997-07-21,30,1,2018,1610612737,Omari,6,9,2.06,True,6,Villanova University/USA,Spellman,2018,1629016,F,1610612737,111.1,245,0
431,Michigan,Canada,1993-10-07,8,1,2014,1610612758,Nik,6,6,1.98,True,6,Michigan/Canada,Stauskas,2014,203917,G,1610612757,93.0,205,4
432,Cincinnati,USA,1990-09-05,40,2,2010,1610612754,Lance,6,6,1.98,True,6,Cincinnati/USA,Stephenson,2010,202362,G,1610612747,104.3,230,8
433,Xavier,USA,1995-12-31,52,2,2017,1610612740,Edmond,6,6,1.98,True,5,Xavier/USA,Sumner,2017,1628410,G,1610612754,79.8,176,1
434,Purdue,USA,1997-04-18,26,1,2017,1610612757,Caleb,6,9,2.06,True,50,Purdue/USA,Swanigan,2017,1628403,F,1610612757,113.4,250,1
435,Duke,USA,1998-03-03,3,1,2017,1610612738,Jayson,6,8,2.03,True,0,Duke/USA,Tatum,2017,1628369,F,1610612738,94.3,208,1
436,Wake Forest,USA,1988-06-10,19,1,2009,1610612737,Jeff,6,2,1.88,True,0,Wake Forest/USA,Teague,2009,201952,G,1610612750,88.5,195,9
437,Louisiana State,USA,1986-05-08,,,,,Garrett,6,6,1.98,True,17,Louisiana State/USA,Temple,2009,202066,G-F,1610612763,88.5,195,8
438,,Serbia,1987-03-19,,,,,Milos,6,5,1.96,True,4, Serbia/Serbia,Teodosic,2017,1628462,G,1610612746,88.9,196,1
439,Rhode Island,USA,1995-02-10,,,,,Jared,6,3,1.9,True,3,Rhode Island/USA,Terrell,2018,1629123,G,1610612750,103.0,227,0
440,,Germany,1992-04-04,,,,,Daniel,6,8,2.03,True,27,Germany/Germany,Theis,2017,1628464,F,1610612738,110.2,243,1
441,Washington,USA,1989-02-07,60,2,2011,1610612758,Isaiah,5,9,1.75,True,0,Washington/USA,Thomas,2011,202738,G,1610612743,83.9,185,7
442,Creighton,USA,1996-05-08,38,2,2018,1610612755,Khyri,6,3,1.9,True,13,Creighton University/USA,Thomas,2018,1629017,G,1610612765,95.3,210,0
443,Duke,USA,1988-04-24,,,,,Lance,6,8,2.03,True,42,Duke/USA,Thomas,2011,202498,F,1610612752,108.9,240,7
444,Washington State,USA,1990-02-08,11,1,2011,1610612744,Klay,6,7,2.01,True,11,Washington State/USA,Thompson,2011,202691,G,1610612744,97.5,215,7
445,Texas,Canada,1991-03-13,4,1,2011,1610612739,Tristan,6,10,2.08,True,13,Texas/Canada,Thompson,2011,202684,C-F,1610612739,108.0,238,7
446,South Carolina,USA,1994-11-15,48,2,2017,1610612749,Sindarius,6,5,1.96,True,0,South Carolina/USA,Thornwell,2017,1628414,G,1610612746,97.5,215,1
447,Creighton,USA,1985-06-01,,,,,Anthony,6,8,2.03,True,43,Creighton/USA,Tolliver,2008,201229,F,1610612750,113.4,250,10
448,Kentucky,USA,1995-11-15,1,1,2015,1610612750,Karl-Anthony,7,0,2.13,True,32,Kentucky/USA,Towns,2015,1626157,C,1610612750,112.5,248,3
449,,USA,1999-01-18,,,,,Gary,6,6,1.98,True,9, USA/USA,Trent Jr.,2018,1629018,G,1610612757,93.0,205,0
450,University of Arizona,USA,1996-01-17,,,,,Allonzo,6,5,1.96,True,14,University of Arizona/USA,Trier,2018,1629019,G,1610612752,90.7,200,0
